Sales,Accounts,Time,Poten,AdvExp,Share,Change,Work,Rating
3669.88,74.86,43.1,74065.1,4582.9,2.51,0.34,15.05,4.9
3473.95,107.32,108.13,58117.3,5539.8,5.51,0.15,19.97,5.1
2295.1,96.75,13.82,21118.5,2950.4,10.91,-0.72,17.34,2.9
4675.56,195.12,186.18,68521.3,2243.1,8.27,0.17,13.4,3.4
6125.96,180.44,161.79,57805.1,7747.1,9.15,0.5,17.64,4.6
2134.94,104.88,8.94,37806.9,402.4,5.51,0.15,16.22,4.5
5031.66,256.1,365.04,50935.3,3140.6,8.54,0.55,18.8,4.6
3367.45,126.83,220.32,35602.1,2086.2,7.07,-0.49,19.86,2.3
6519.45,203.25,127.64,46176.8,8846.2,12.54,1.24,17.42,4.9
4876.37,119.51,105.69,42053.2,5673.1,8.85,0.31,21.41,2.8
2468.27,116.26,57.72,36829.7,2761.8,5.38,0.37,16.32,3.1
2533.31,142.28,23.58,33612.7,1991.8,5.43,-0.65,14.51,4.2
2408.11,89.43,13.82,21412.8,1971.5,8.48,0.64,19.35,4.3
2337.38,84.55,13.82,20416.9,1737.4,7.8,1.01,20.02,4.2
4586.95,119.51,86.99,36272,10694.2,10.34,0.11,15.26,5.5
2729.24,80.49,165.85,23093.3,8618.6,5.15,0.04,15.87,3.6
3289.4,136.58,116.26,26878.6,7747.9,6.64,0.68,7.81,3.4
2800.78,78.86,42.28,39572,4565.8,5.45,0.66,16,4.2
3264.2,136.58,52.84,51866.1,6022.7,6.31,-0.1,17.44,3.6
3453.62,138.21,165.04,58749.8,3721.1,6.35,-0.03,17.98,3.1
1741.45,75.61,10.57,23990.8,861,7.37,-1.63,20.99,1.6
2035.75,102.44,13.82,25694.9,3571.5,8.39,-0.43,21.66,3.4
1578,76.42,8.13,23736.3,2845.5,5.15,0.04,21.46,2.7
4167.44,136.58,58.44,34314.3,5060.1,12.88,0.22,24.78,2.8
2799.97,88.62,21.14,22809.5,3552,9.14,-0.74,24.96,3.9
